2,1,60,2,10,30,90,160,250,0,0
4,1,60,4,20,60,180,320,450,0,0
6,2,200,0,0,0,0,0,0,0,0
7,1,100,6,30,90,270,400,550,0,0
9,1,100,6,30,90,270,400,550,0,0
10,1,120,8,40,100,300,450,600,0,0
12,1,140,10,50,150,450,625,750,0,0
13,3,150,0,0,0,0,0,0,0,0
14,1,140,10,50,150,450,625,750,0,0
15,1,160,12,60,180,500,700,900,0,0
16,2,200,0,0,0,0,0,0,0,0
17,1,180,14,70,200,550,750,950,0,0
19,1,180,14,70,200,550,750,950,0,0
20,1,200,16,80,220,600,800,1000,0,0
22,1,220,18,90,250,700,875,1050,0,0
24,1,220,20,100,300,750,925,1100,0,0
25,1,240,22,110,330,800,975,1150,0,0
26,2,200,0,0,0,0,0,0,0,0
27,1,260,22,110,330,800,975,1150,0,0
28,1,260,22,110,330,800,975,1150,0,0
29,3,150,0,0,0,0,0,0,0,0
30,1,280,24,120,360,850,1025,1200,0,0
32,1,300,26,130,390,900,1100,1275,0,0
33,1,300,26,130,390,900,1100,1275,0,0
35,1,320,28,150,450,1000,1200,1400,0,0
36,2,200,0,0,0,0,0,0,0,0
38,1,350,35,175,500,1100,1300,1500,0,0
40,1,400,50,200,500,1400,1700,2000,0,0
